"","locationID","SampleID","Source","Village","Ward","Aflatoxin_ppb","Fumonisin_ppm","Ward_mean_AF","Ward_SE_AF"
"55","18nov15_03","18nov15_03_004","purchased","Msunjilile","Sejeli",65.4,0.59,56.95,10.4808970654569
"56","19nov15_02","19nov15_02_001","purchased","Chilanjilizi","Ngomai",94.1,0.63,31.3,10.5108247011087
"57","19nov15_02","19nov15_02_002","homegrown","Chilanjilizi","Ngomai",41.1,0.07,31.3,10.5108247011087
"58","19nov15_03","19nov15_03_001","homegrown","Manyata","Ngomai",42.5,0.42,31.3,10.5108247011087
"59","19nov15_03","19nov15_03_002","homegrown","Manyata","Ngomai",2.9,0.61,31.3,10.5108247011087
"60","19nov15_01","19nov15_01_001","purchased","Chilanjilizi","Ngomai",7.6,0.76,31.3,10.5108247011087
"61","19nov15_01","19nov15_01_002","homegrown","Chilanjilizi","Ngomai",111.6,0.02,31.3,10.5108247011087
"62","19nov15_01","19nov15_01_003","purchased","Chilanjilizi","Ngomai",69.1,0.04,31.3,10.5108247011087
"63","20nov15_01","20nov15_01_001","homegrown","Makawa","Makawa",7.7,0.11,14.1352941176471,4.35845140111909
"64","20nov15_01","20nov15_01_002","homegrown","Makawa","Makawa",6.3,0.95,14.1352941176471,4.35845140111909
"65","20nov15_02","20nov15_02_001","homegrown","Makawa","Makawa",2.6,0.04,14.1352941176471,4.35845140111909
"66","20nov15_02","20nov15_02_002","purchased","Makawa","Makawa",2.7,0.42,14.1352941176471,4.35845140111909
"67","20nov15_02","20nov15_02_003","homegrown","Makawa","Makawa",1.1,0.73,14.1352941176471,4.35845140111909
"68","20nov15_03","20nov15_03_001","homegrown","Muungano","Makawa",72.8,0.67,14.1352941176471,4.35845140111909
"69","20nov15_03","20nov15_03_002","homegrown","Muungano","Makawa",6.9,0.27,14.1352941176471,4.35845140111909
"70","20nov15_04","20nov15_04_001","homegrown","Muungano","Makawa",39.6,0.3,14.1352941176471,4.35845140111909
"71","20nov15_04","20nov15_04_002","homegrown","Muungano","Makawa",7.3,0.44,14.1352941176471,4.35845140111909
"72","20nov15_04","20nov15_04_003","homegrown","Muungano","Makawa",19.7,1.18,14.1352941176471,4.35845140111909
"73","10nov15_001","HH01_FMN_01","homegrown","Mkoka","Mkoka",7.7,0.01,39.9307692307692,11.5213257373256
"74","10nov15_001","HH02_FMN_07","homegrown","Mkoka","Mkoka",7.2,0,39.9307692307692,11.5213257373256
"75","10nov15_001","HH03_FMN_11","homegrown","Mkoka","Mkoka",3.8,0,39.9307692307692,11.5213257373256
"76","10nov15_002","HH04_FMN_13","homegrown","Mvungurumo","Mkoka",76.9,0.01,39.9307692307692,11.5213257373256
"77","10nov15_002","HH05_FMN_17","homegrown","Mvungurumo","Mkoka",128.4,0.01,39.9307692307692,11.5213257373256
"78","10nov15_002","HH06_FMN_20","homegrown","Mvungurumo","Mkoka",41.3,0.01,39.9307692307692,11.5213257373256
"79","10nov15_003","HH07_FMN_21","homegrown","Mnuku","Mkoka",99.6,0.75,39.9307692307692,11.5213257373256
"80","11nov15_004","HH08_FMN_20a","homegrown","Ibwaga","Ugogoni",3.8,0.03,19.15,4.74668145639507
"81","11nov15_004","HH09_FMN_26","purchased","Ibwaga","Ugogoni",26.5,0.04,19.15,4.74668145639507
"82","11nov15_004","HH10_FMN_29","homegrown","Ibwaga","Ugogoni",15.7,0.04,19.15,4.74668145639507
"83","11nov15_005","HH12_FMN_36","homegrown","Mautya","Ugogoni",41,0,19.15,4.74668145639507
"84","11nov15_005","HH13_FMN_38","homegrown","Mautya","Ugogoni",7.3,0.03,19.15,4.74668145639507
"85","11nov15_005","HH14_FMN_41a","homegrown","Mautya","Ugogoni",23.3,0.02,19.15,4.74668145639507
"86","12nov15_006","HH15_FMN_42b","homegrown","Mtanana","Mtanana",42.2,0.03,34.4615384615385,9.82302070140327
"87","12nov15_006","HH16_FMN_43","homegrown","Mtanana","Mtanana",15.8,0,34.4615384615385,9.82302070140327
"88","12nov15_007","HH17_FMN_45","homegrown","Ndalibo","Mtanana",8.2,0.01,34.4615384615385,9.82302070140327
"89","12nov15_008","HH18_FMN_46b","homegrown","Ndalibo","Mtanana",17.8,0.57,34.4615384615385,9.82302070140327
"90","12nov15_009","HH19_FMN_50","homegrown","Ndalibo","Mtanana",71.3,0.01,34.4615384615385,9.82302070140327
"91","12nov15_010","HH20_FMN_52a","homegrown","Ndalibo","Mtanana",24.9,0,34.4615384615385,9.82302070140327
"92","13nov15_011","HH21_FMN_52b","homegrown","Matongoro","Matongoro",6.9,0.13,22.3785714285714,9.85750218328982
"93","13nov15_011","HH23_FMN_60","homegrown","Matongoro","Matongoro",33.4,0.02,22.3785714285714,9.85750218328982
"94","13nov15_011","HH24_FMN_62","homegrown","Matongoro","Matongoro",18.1,0.04,22.3785714285714,9.85750218328982
"95","13nov15_012","HH25_FMN_64","homegrown","Mlanje","Matongoro",2.8,0.02,22.3785714285714,9.85750218328982
"96","13nov15_012","HH26_FMN_69","homegrown","Mlanje","Matongoro",2.5,0.62,22.3785714285714,9.85750218328982
"97","13nov15_012","HH27_FMN_76","homegrown","Mlanje","Matongoro",22.2,0.02,22.3785714285714,9.85750218328982
"98","16nov15_013","HH28_FMN_78","homegrown","Pandambili","Pandambili",6.6,0.05,12.9,6.01211399641444
"99","16nov15_013","HH29_FMN_80","homegrown","Pandambili","Pandambili",2,0.04,12.9,6.01211399641444
"100","16nov15_013","HH30_FMN_82","homegrown","Pandambili","Pandambili",0.3,0.05,12.9,6.01211399641444
"101","16nov15_014","HH32_FMN_85","homegrown","Silwa","Pandambili",0.2,0.08,12.9,6.01211399641444
"102","16nov15_014","HH33_FMN_89","homegrown","Silwa","Pandambili",1.6,0.01,12.9,6.01211399641444
"103","16nov15_014","HH34_FMN_92","homegrown","Silwa","Pandambili",0.9,0.03,12.9,6.01211399641444
"104","17nov15_015","HH35_FMN_96","homegrown","Iduo","Iduo",129.8,0.01,14.1733333333333,8.38470527446747
"105","17nov15_015","HH36_FMN_101","homegrown","Iduo","Iduo",6.3,0.02,14.1733333333333,8.38470527446747
"106","17nov15_015","HH37_FMN_104","homegrown","Iduo","Iduo",1.9,0.02,14.1733333333333,8.38470527446747
"107","17nov15_016","HH38_FMN_106","homegrown","Suguta","Iduo",8.7,1.76,14.1733333333333,8.38470527446747
"108","17nov15_016","HH39_FMN_109","homegrown","Suguta","Iduo",0.5,0.67,14.1733333333333,8.38470527446747
"109","17nov15_016","HH40_FMN_116","homegrown","Suguta","Iduo",2.2,0.02,14.1733333333333,8.38470527446747
"110","18nov15_017","HH42_FMN_120","purchased","Sejeli","Sejeli",2.4,0.06,56.95,10.4808970654569
"111","18nov15_017","HH43_FMN_122","purchased","Sejeli","Sejeli",113.4,0.07,56.95,10.4808970654569
"112","18nov15_017","HH44_FMN_123","purchased","Sejeli","Sejeli",26.3,0.21,56.95,10.4808970654569
"113","18nov15_018","HH45_FMN_127","purchased","Msunjilile","Sejeli",15.2,0.17,56.95,10.4808970654569
"114","18nov15_018","HH46_FMN_128","purchased","Msunjilile","Sejeli",90.5,0.37,56.95,10.4808970654569
"115","18nov15_018","HH47_FMN_129","purchased","Msunjilile","Sejeli",13.6,0.79,56.95,10.4808970654569
"116","19nov15_019","HH49_FMN_132","homegrown","Chilanjilizi","Ngomai",13.7,0.44,31.3,10.5108247011087
"117","19nov15_019","HH50_FMN_136","purchased","Chilanjilizi","Ngomai",1.7,0.04,31.3,10.5108247011087
"118","19nov15_019","HH51_FMN_140","purchased","Chilanjilizi","Ngomai",6.3,0.64,31.3,10.5108247011087
"119","19nov15_019","HH52_FMN_142","homegrown","Chilanjilizi","Ngomai",5.3,0.01,31.3,10.5108247011087
"120","19nov15_020","HH53_FMN_146","purchased","Manyata","Ngomai",7.2,0.01,31.3,10.5108247011087
"121","19nov15_020","HH54_FMN_149","homegrown","Manyata","Ngomai",3.8,0,31.3,10.5108247011087
"122","20nov15_021","HH55_FMN_151","homegrown","Makawa","Makawa",8.3,0.1,14.1352941176471,4.35845140111909
"123","20nov15_021","HH56_FMN_153","purchased","Makawa","Makawa",10,0.11,14.1352941176471,4.35845140111909
"124","20nov15_021","HH57_FMN_156","purchased","Makawa","Makawa",22.8,0.14,14.1352941176471,4.35845140111909
"125","20nov15_021","HH58_FMN_160","purchased","Makawa","Makawa",7.4,0.03,14.1352941176471,4.35845140111909
"126","20nov15_022","HH59_FMN_162b","purchased","Muungano","Makawa",17.8,0.36,14.1352941176471,4.35845140111909
"127","20nov15_022","HH60_FMN_164","purchased","Muungano","Makawa",2,0.23,14.1352941176471,4.35845140111909
"128","20nov15_022","HH61_FMN_167","purchased","Muungano","Makawa",5.3,0.14,14.1352941176471,4.35845140111909
