Sample ID,Ward,Village,Sample type,Total Maize samples,Millet ,Finger millet,Sorghum,Rice,Sesame,Groundnuts,Home made Lishe,Whole millet flour ,Sifted Sorghum flour ,Commercial Lishe
HH14_FMN_42a,Ugogoni,Mautya B,Groundnuts,,,,,,,2,,,,
HH15_FMN_41b,Mtanana,Mtanana A,Groundnuts,,,,,,,1,,,,
HH17_FMN_46,Mtanana,Ndalibo,Groundnut flour,,,,,,,1,,,,
HH18_FMN_46c,Mtanana,Ndalibo,Groundnuts,,,,,,,,,,,
HH19_FMN_51a,Mtanana,Ndalibo,Groundnuts,,,,,,,2,,,,
HH21_FMN_54,Matongoro,Matongoro,Groundnuts,,,,,,,,,,,
HH22_FMN_57,Matongoro,Matongoro,Groundnuts,,,,,,,,,,,
HH24_FMN_63,Matongoro,Matongoro,Groundnuts,,,,,,,3,,,,
HH25_FMN_65,Matongoro,Mlanje,Groundnuts,,,,,,,,,,,
HH26_FMN_70,Matongoro,Mlanje,Groundnuts,,,,,,,,,,,
HH27_FMN_73,Matongoro,Mlanje,Groundnuts,,,,,,,3,,,,
HH32_FMN_86,Pandambili,Silwa,Groundnuts,,,,,,,,,,,
HH33_FMN_88,Pandambili,Silwa,Groundnuts,,,,,,,2,,,,
Mkt2_FMN_83,Pandambili,Pandambili A,Groundnuts,,,,,,,1,,,,
HH36_FMN_98,Iduo,Iduo,Groundnuts,,,,,,,,,,,
HH37_FMN_102,Iduo,Iduo,Groundnuts,,,,,,,2,,,,
HH38_FMN_107,Iduo,Suguta,Groundnuts,,,,,,,,,,,
HH39_FMN_111,Iduo,Suguta,Groundnuts,,,,,,,,,,,
HH40_FMN_118,Iduo,Suguta,Groundnuts,,,,,,,3,,,,
HH49_FMN_134,Ngomai,Chilanjilizi,Groundnuts,,,,,,,,,,,
HH50_FMN_138,Ngomai,Chilanjilizi,Groundnuts,,,,,,,,,,,
HH52_FMN_143,Ngomai,Chilanjilizi,Groundnuts,,,,,,,3,,,,
HH53_FMN_148,Ngomai,Manyatta,Groundnuts,,,,,,,,,,,
HH54_FMN_150,Ngomai,Manyatta,Groundnuts,,,,,,,2,,,,
HH56_FMN_155,Makawa,Makawa,Groundnuts,,,,,,,,,,,
HH57_FMN_158,Makawa,Makawa,Groundnuts,,,,,,,,,,,
HH58_FMN_162,Makawa,Makawa,Groundnuts,,,,,,,3,,,,
HH60_FMN_166,Makawa,Muungano,Groundnuts,,,,,,,1,,,,
HH08_FMN_21a,Ugogoni,Ibwaga,Home Lishe flour,,,,,,,,1,,,
HH10_FMN_31,Ugogoni,Ibwaga,Whole millet flour,,,,,,,,,1,,
HH11_FMN_32,Ugogoni,Ibwaga,Sifted sorghum flour ,,,,,,,,,,1,
HH12_FMN_35,Ugogoni,Mautya B,Whole millet flour,,,,,,,,,1,,
HH12_FMN_37,Ugogoni,Mautya B,Sifted sorghum flour ,,,,,,,,,,1,
HH26_FMN_71,Matongoro,Matongoro,"Whole maize, finger millet and raw groundnuts",,,,,,,,1,,,
HH21_FMN_53,Matongoro,Matongoro,Home Lishe flour,,,,,,,,1,,,
HH27_FMN_75,Matongoro,Mlanje,Home Lishe flour,,,,,,,,1,,,
HH35_FMN_95,Iduo,Iduo,Home Lishe flour,,,,,,,,,,,
HH36_FMN_100,Iduo,Iduo,Home Lishe flour,,,,,,,,2,,,
HH40_FMN_115,Iduo,Suguta,Home Lishe flour,,,,,,,,1,,,
HH41_FMN_119,Iduo,Suguta,Whole millet flour,,,,,,,,,1,,
HH53_FMN_147,Ngomai,Manyatta,Home Lishe flour,,,,,,,,1,,,
L1,,,"Lishe Kiboko, Kongwa, Dodoma",,,,,,,,,,,1
L2,,,"Lishe Kiboko, Kongwa, Dodoma",,,,,,,,,,,1
L3,,,"Lishe Kiboko, Kongwa, Dodoma",,,,,,,,,,,1
L4,,,"Lishe Kiboko, Kongwa, Dodoma",,,,,,,,,,,1
L5,,,"Lishe Kiboko, Kongwa, Dodoma",,,,,,,,,,,1
L6,,,Matabitha ,,,,,,,,,,,1
L7,,,Shibe Unga mchanganyiko,,,,,,,,,,,1
,,,,51,6,4,8,1,2,38,8,3,2,7
