locationID,SampleID,MaizeFlourType,otherTypes,SeedVsFood,source,TimeSinceHarvested,MktLoc,purchasedSource,VisInspection,Aflatoxin_ppb,Fumonisin_ppm
19nov15_01,19nov15_01_003,dona,,,purchased,5,Same village,same_village,,69.1,0.04
19nov15_01,19nov15_01_004,wholekmaize,,food,homegrown,5,,,,,
20nov15_01,20nov15_01_001,dona,,,homegrown,4,,,,7.7,0.11
20nov15_01,20nov15_01_002,dona wholekmaize,,food,homegrown,4,,,,6.3,0.95
20nov15_02,20nov15_02_001,sembe wholekmaize,,food,homegrown,4,,,,2.6,0.04
20nov15_02,20nov15_02_002,dona,,,purchased,4,Makawa,same_village,,2.7,0.42
20nov15_02,20nov15_02_003,sembe,,,homegrown,4,,,,1.1,0.73
20nov15_03,20nov15_03_001,sembe,,,homegrown,4,,,,72.8,0.67
20nov15_03,20nov15_03_002,sembe,,,homegrown,4,,,,6.9,0.27
20nov15_04,20nov15_04_001,sembe,,,homegrown,5,,,,39.6,0.30
20nov15_04,20nov15_04_002,sembe,,,homegrown,5,,,,7.3,0.44
20nov15_04,20nov15_04_003,dona,,,homegrown,4,,,,19.7,1.18
