"","ID","Latitude","Longitude","VendorCustID","VDSA","Gender","Lat_DD","Lon_DD"
"68","Sto02","16 50 48.0","78 31 45.1","",NA,"male",16.8466666666667,78.5291944444444
"69","Mi03","16 50 46.3","78 32 52.2","",NA,"male",16.8461944444444,78.5478333333333
"70","Ma02","16 51 51.6","78 36 59.5","01ma02",NA,"male",16.8643333333333,78.6165277777778
"71","Misc01","16 51 10.1","78 37 25.0","",NA,"female",16.8528055555556,78.6236111111111
"72","Ho53","16 51 02.8","78 37 26.1","",46,"female",16.8507777777778,78.6239166666667
"73","Ma03","16 51 04.9","78 37 27.2","01ma03",NA,"female",16.8513611111111,78.6242222222222
"74","Ho54","16 51 05.8","78 37 28.7","",240,"male",16.8516111111111,78.6246388888889
"75","Ho55","16 51 05.6","78 37 29.7","",231,"male",16.8515555555556,78.6249166666667
"76","Ho56","16 51 08.6","78 37 28.4","",312,"female",16.8523888888889,78.6245555555555
"77","Mi04","16 50 58.2","78 37 27.4","",NA,"male",16.8495,78.6242777777778
"78","Ho57","16 51 05.4","78 37 28.8","",209,"female",16.8515,78.6246666666667
"79","Ho58","16 51 08.4","78 37 29.5","",312,"female",16.8523333333333,78.6248611111111
"80","Ho59","16 51 09.2","78 37 24.8","",315,"female",16.8525555555556,78.6235555555556
"81","Ho60","16 51 47.7","78 37 03.8","",220,"female",16.86325,78.6177222222222
"82","Fa03","16 51 16.0","78 37 21.2","",NA,"",16.8544444444444,78.6225555555556
"83","Fa02","16 51 31.8","78 37 57.4","",NA,"",16.8588333333333,78.6326111111111
"84","Fa01","16 51 45.6","78 37 40.5","",NA,"",16.8626666666667,78.6279166666667
