"","locationID","SampleID","MaizeFlourType","otherTypes","source","TimeSinceHarvested","Village","Ward","Latitude_dd","Longitude_dd","Elev_masl","Aflatoxin_ppb","Fumonisin_ppm"
"28","16nov15_01","16nov15_01_002","sembe","none","homegrown","5","Pandambili","Pandambili","-6.08419318","36.73339292","1295",6.2,0.02
"29","16nov15_01","16nov15_01_003","sembe","none","purchased","4","Pandambili","Pandambili","-6.08419318","36.73339292","1295",11.4,0.04
"30","16nov15_01","16nov15_01_004","sembe","none","purchased","4","Pandambili","Pandambili","-6.08419318","36.73339292","1295",5.4,0.13
"31","16nov15_02","16nov15_02_001","sembe","none","homegrown","4","Pandambili","Pandambili","-6.08461546","36.7372781","1317",6.3,0.1
"32","16nov15_02","16nov15_02_002","sembe","none","homegrown","5","Pandambili","Pandambili","-6.08461546","36.7372781","1317",4.1,0.07
"33","16nov15_02","16nov15_02_003","sembe","none","homegrown","6","Pandambili","Pandambili","-6.08461546","36.7372781","1317",5.8,0.06
"34","16nov15_03","16nov15_03_001","sembe","none","purchased","4","Silwa","Pandambili","-6.1105898","36.77079977","1339",10.6,0.36
"35","16nov15_03","16nov15_03_002","sembe","none","purchased","4","Silwa","Pandambili","-6.1105898","36.77079977","1339",97.9,0.84
"36","16nov15_04","16nov15_04_001","sembe","none","purchased","6","Silwa","Pandambili","-6.0922388","36.79146107","1352",50.5,0.07
"37","16nov15_04","16nov15_04_002","dona","none","purchased","5","Silwa","Pandambili","-6.0922388","36.79146107","1352",8.6,0.32
"38","16nov15_04","16nov15_04_003","sembe","none","homegrown","6","Silwa","Pandambili","-6.0922388","36.79146107","1352",0.9,0.13
"39","17nov15_01","17nov15_01_001","sembe","none","homegrown","5","Iduo","Iduo","-6.266731","36.64529258","1195",5.3,0.04
"40","17nov15_01","17nov15_01_002","sembe","none","homegrown","5","Iduo","Iduo","-6.266731","36.64529258","1195",10.9,0.33
"41","17nov15_02","17nov15_02_001","sembe","wholekmaize","purchased","5","Iduo","Iduo","-6.26753876","36.65204488","1188",3.2,0.09
"42","17nov15_02","17nov15_02_002","dona","wholekmaize","homegrown","5","Iduo","Iduo","-6.26753876","36.65204488","1188",3.7,0.07
"43","17nov15_02","17nov15_02_003","sembe","none","purchased","5","Iduo","Iduo","-6.26753876","36.65204488","1188",3.3,0.52
"44","17nov15_02","17nov15_03_001","sembe","none","homegrown","5","Iduo","Iduo","-6.26753876","36.65204488","1188",4.7,0.05
"45","17nov15_03","17nov15_03_002","sembe","none","purchased","5","Suguta","Iduo","-6.29530901","36.68293839","1120",23.8,0.69
"46","17nov15_03","17nov15_03_003","sembe","wholekmaize","purchased","4","Suguta","Iduo","-6.29530901","36.68293839","1120",4.4,0.08
"47","17nov15_03","17nov15_03_004","sembe","wholekmaize","homegrown","5","Suguta","Iduo","-6.29530901","36.68293839","1120",3.9,0.28
"48","18nov15_01","18nov15_01_001","sembe","none","purchased","Unknown","Sejeli","Sejeli","-6.02301325","36.31969655","965",48.2,0.27
"49","18nov15_01","18nov15_01_002","dona","none","purchased","5","Sejeli","Sejeli","-6.02301325","36.31969655","965",89.4,1.67
"50","18nov15_01","18nov15_01_003","none","wholekmaize","purchased","5","Sejeli","Sejeli","-6.02301325","36.31969655","965",NA,NA
"51","18nov15_02","18nov15_02_001","sembe","none","purchased","5","Sejeli","Sejeli","-6.0314788","36.322693","1026",18.5,0.42
"52","18nov15_02","18nov15_02_002","dona","none","purchased","5","Sejeli","Sejeli","-6.0314788","36.322693","1026",94.1,0.24
"53","18nov15_02","18nov15_02_003","none","wholekmaize","purchased","5","Sejeli","Sejeli","-6.0314788","36.322693","1026",NA,NA
"54","18nov15_03","18nov15_03_001","dona","none","purchased","5","Msunjilile","Sejeli","-5.96319362","36.35346137","1059",27.9,0.4
"55","18nov15_03","18nov15_03_002","dona","none","purchased","5","Msunjilile","Sejeli","-5.96319362","36.35346137","1059",87.3,0.17
"56","18nov15_03","18nov15_03_003","dona","none","purchased","5","Msunjilile","Sejeli","-5.96319362","36.35346137","1059",105.1,1.12
"57","18nov15_03","18nov15_03_004","dona","none","purchased","5","Msunjilile","Sejeli","-5.96319362","36.35346137","1059",65.4,0.59
"58","19nov15_02","19nov15_02_001","dona","none","purchased","4","Chilanjilizi","Ngomai","-5.88907697","36.61600697","1280",94.1,0.63
"59","19nov15_02","19nov15_02_002","dona","none","homegrown","6","Chilanjilizi","Ngomai","-5.88907697","36.61600697","1280",41.1,0.07
"60","19nov15_03","19nov15_03_001","sembe","none","homegrown","5","Chilanjilizi","Ngomai","-5.88907697","36.61600697","1280",42.5,0.42
"61","19nov15_03","19nov15_03_002","sembe","none","homegrown","5","Chilanjilizi","Ngomai","-5.88907697","36.61600697","1280",2.9,0.61
"62","19nov15_01","19nov15_01_001","dona","none","purchased","Unknown","Chilanjilizi","Ngomai","-5.88856241","36.61543432","1183",7.6,0.76
